order_id,order_date,city,restaurant_name,food_category,item_name,quantity,unit_price,discount,delivery_fee,gst,total_sales,delivery_time_min,payment_method,order_status,customer_rating,delivery_partner
700001,11/21/2025,Ahmedabad,Food Fiesta,Pizza,Margherita,1,366.49,43.46,52.24,16.15,391.42,51,Cash,Delivered,3.2,Suresh
700002,3/31/2026,Ahmedabad,Pizza Corner,South Indian,Uttapam,5,185.87,50.04,33.78,43.97,957.06,25,Wallet,Delivered,3.9,Amit
700003,6/23/2025,Rajkot,Urban Tadka,Pizza,Farmhouse,5,125.19,0.19,20.69,31.29,677.74,24,Card,Cancelled,,Rahul
700004,3/28/2025,Mumbai,Biryani Express,Beverages,Lassi,2,93.6,79.11,56.81,5.4,170.3,45,Card,Delivered,4.1,Rahul
700005,5/10/2025,Jaipur,Spice Hub,Pizza,Margherita,2,192.52,32.47,27.87,17.63,398.07,28,Card,Delivered,4.5,Amit
700006,11/10/2025,Gandhinagar,Urban Tadka,South Indian,Masala Dosa,4,158.91,58.51,59.05,28.86,665.04,42,Cash,Delivered,3.7,Ravi
700007,11/25/2025,Vadodara,Spice Hub,South Indian,Idli,4,220.35,66.14,39.09,40.76,895.11,47,Card,Delivered,3.5,Rahul
700008,10/12/2025,Surat,Pizza Corner,South Indian,Uttapam,2,389.3,50.65,38.86,36.4,803.21,18,Cash,Delivered,4.2,Amit
700009,10/15/2025,Surat,Food Fiesta,South Indian,Uttapam,3,148.63,67.66,32.53,18.91,429.67,69,Card,Delivered,3.1,Amit
700010,6/17/2026,Mumbai,Chinese Wok,Biryani,Paneer Biryani,1,191.16,41.21,33.21,7.5,190.66,64,UPI,Delivered,4.2,Amit
700011,11/3/2025,Rajkot,Urban Tadka,Burger,Paneer Burger,4,317.27,32.78,58.64,61.81,1356.75,28,UPI,Delivered,4.7,Amit
700012,1/20/2026,Rajkot,South Treat,Burger,Cheese Burger,4,334.65,67.04,43.36,63.58,1378.5,36,Card,Delivered,3.3,Amit
700013,6/20/2025,Gandhinagar,Chinese Wok,Biryani,Hyderabadi Veg,2,203.1,7.96,32.86,19.91,451.01,71,Wallet,Delivered,4.8,Vikas
700014,8/12/2025,Vadodara,Urban Tadka,Chinese,Fried Rice,1,166.61,53.7,39.27,5.65,157.83,51,Cash,Cancelled,,Vikas
700015,7/17/2025,Mumbai,Urban Tadka,Chinese,Fried Rice,4,271.24,35.96,26.61,52.45,1128.06,49,Cash,Delivered,4.9,Priya
700016,9/27/2025,Jaipur,Burger House,Pizza,Farmhouse,1,300.01,75.79,43.95,11.21,279.38,46,Cash,Delivered,4.7,Karan
700017,2/17/2026,Rajkot,South Treat,Pizza,Veg Supreme,2,166.1,54.87,57.98,13.87,349.18,25,Cash,Delivered,4.1,Priya
700018,4/8/2026,Vadodara,Pizza Corner,Beverages,Lassi,3,192.75,78.41,48.8,24.99,573.63,27,Cash,Cancelled,,Neha
700019,3/18/2026,Vadodara,Burger House,Chinese,Noodles,3,348.87,17.25,54.12,51.47,1134.95,15,Wallet,Delivered,3.1,Karan
700020,6/30/2025,Jaipur,Food Fiesta,Pizza,Farmhouse,3,100.06,65.14,20.93,11.75,267.72,38,UPI,Delivered,4.8,Ravi
700021,9/1/2025,Rajkot,South Treat,Beverages,Fresh Juice,1,393.77,9.48,53.05,19.21,456.55,46,Wallet,Delivered,3.9,Rahul
700022,5/2/2025,Vadodara,Pizza Corner,Biryani,Paneer Biryani,2,86.67,72.33,21.25,5.05,127.31,22,Cash,Delivered,3.9,Neha
